LandmarkID,Name,Functn,Structure,EditBy,EditDate,Location 1,EditState
7000033,Grace Institutional Baptist,6600: Religious institutions,"3500: Churches, synagogues, temples, mosques, etc",georgeae,09/07/2007 02:29:57 PM,"(37.5137607899999, -77.4760703799999)",complete
7000519,Ginter Park Baptist Church,6600: Religious institutions,"3500: Churches, synagogues, temples, mosques, etc",georgeae,09/07/2007 02:29:47 PM,"(37.5832673199999, -77.45145764)",complete
7000359,Hanover Avenue Christian Church,1100: Private household,"3500: Churches, synagogues, temples, mosques, etc",georgeae,09/07/2007 02:14:44 PM,"(37.55143847, -77.4614162)",complete
7000385,Glenwood Golf Course,"5300: Amusement, sports, or recreation establishment",6980: Other installed recreational or athletic equipment,georgeae,09/07/2007 02:00:21 PM,"(37.55199108, -77.3909272199999)",complete
7000416,Glenfield Business Center,"2400: Business, professional, scientific, and technical services",2000: Commercial buildings and other specialized structures,georgeae,09/07/2007 02:00:12 PM,"(37.5595151699999, -77.40649629)",needs research
7000525,Ginter Park United Methodist Church,6600: Religious institutions,"3500: Churches, synagogues, temples, mosques, etc",georgeae,09/07/2007 01:56:10 PM,"(37.5848234799999, -77.4485416899999)",complete
7001561,Gates of Faith Ministries,6600: Religious institutions,"3500: Churches, synagogues, temples, mosques, etc",georgeae,09/07/2007 01:52:51 PM,"(37.4767004699999, -77.4456138999999)",complete
7001940,Nolde Bakery,1100: Private household,2610: Light industrial structures and facilities,georgeae,09/07/2007 01:21:50 PM,"(37.5315707299999, -77.4176296499999)",complete
7000438,National Guard Armory,,7500: Armory building,georgeae,09/07/2007 01:07:45 PM,"(37.56373262, -77.42731371)",needs research
7000604,Mosby Court North,1000: Residence or accommodation functions,1000: Residential buildings,georgeae,09/07/2007 01:07:35 PM,"(37.54531235, -77.4212396899999)",incomplete
7001605,Fulton Public Housing Community,1000: Residence or accommodation functions,1000: Residential buildings,georgeae,09/07/2007 01:07:16 PM,"(37.5198814399999, -77.4020469999999)",complete
7000539,Forest Lawn Cemetery,6720: Cremation services and cemeteries,"4700: Cemetery, monument, tombstone, or mausoleum",georgeae,09/07/2007 01:01:23 PM,"(37.5919182499999, -77.43489563)",complete
7001502,Football Practice Fields,"5370: Fitness, recreational sports, gym, or athletic club",4220: College or university facility,georgeae,09/07/2007 01:01:12 PM,"(37.5717098399999, -77.5434479399999)",complete
7000482,First Union Baptist Church,6600: Religious institutions,,georgeae,09/07/2007 12:59:34 PM,"(37.57323636, -77.4101162399999)",complete
7000258,First Baptist Church of Washington Park,6600: Religious institutions,"3500: Churches, synagogues, temples, mosques, etc",georgeae,09/07/2007 12:45:32 PM,"(37.59072493, -77.44210726)",complete
7000052,First Baptist Church of South Richmond,6600: Religious institutions,"3500: Churches, synagogues, temples, mosques, etc",georgeae,09/07/2007 12:45:10 PM,"(37.5184160499999, -77.44632507)",complete
7000450,First African Baptist Church,6600: Religious institutions,"3500: Churches, synagogues, temples, mosques, etc",georgeae,09/07/2007 12:37:15 PM,"(37.56734575, -77.4356038199999)",complete
7000449,Garland Avenue Baptist Church,6600: Religious institutions,"3500: Churches, synagogues, temples, mosques, etc",georgeae,09/07/2007 12:36:39 PM,"(37.56716574, -77.434414)",complete
7000021,Ephesus Seventh Day Adventist Church of Richmond,6600: Religious institutions,"3500: Churches, synagogues, temples, mosques, etc",georgeae,09/07/2007 12:35:33 PM,"(37.51007091, -77.47411834)",complete
7001442,Ephesus Junior Academy,6120: Grade schools,4210: Grade school,georgeae,09/07/2007 12:35:30 PM,"(37.5101496999999, -77.47375327)",complete
7000354,Emmaus United Methodist Church,6600: Religious institutions,"3500: Churches, synagogues, temples, mosques, etc",georgeae,09/07/2007 12:33:56 PM,"(37.5506690799999, -77.5336804399999)",complete
7001583,Richmond Gay Community Foundation,"6560: Social assistance, welfare, and charitable services",2600: Industrial buildings and structures,georgeae,09/07/2007 12:32:33 PM,"(37.5700010199999, -77.4549479899999)",complete
7001584,Diversity Thrift,"6560: Social assistance, welfare, and charitable services",2200: Store or shop building,georgeae,09/07/2007 12:32:30 PM,"(37.5694968299999, -77.45484107)",complete
7000469,Department of Game and Inland Fisheries,6300: Other government functions,2100: Office or bank building,georgeae,09/07/2007 12:30:28 PM,"(37.57240646, -77.48180089)",complete
7001562,Congregation Or Ami,6600: Religious institutions,"3500: Churches, synagogues, temples, mosques, etc",georgeae,09/07/2007 12:25:58 PM,"(37.53518538, -77.5708098399999)",complete
7000378,Commonwealth Chapel,6600: Religious institutions,"3500: Churches, synagogues, temples, mosques, etc",georgeae,09/07/2007 12:24:15 PM,"(37.55425822, -77.4627797699999)",complete
7000973,Cole Digges House,"6800: Associations, nonprofit organizations, etc",1000: Residential buildings,georgeae,09/07/2007 12:23:20 PM,"(37.5452768099999, -77.44547208)",complete
7001599,Export Leaf Tobacco Building,2330: Rental and leasing,2611: Loft building,georgeae,09/07/2007 10:55:54 AM,"(37.5564993699999, -77.45421331)",complete
7001594,Stuart Court,1000: Residence or accommodation functions,1200: Multifamily structures,georgeae,09/07/2007 10:55:08 AM,"(37.55296878, -77.45775865)",complete
7000365,Saint Johns United Church of Christ,6600: Religious institutions,"3500: Churches, synagogues, temples, mosques, etc",georgeae,09/07/2007 10:54:52 AM,"(37.5524778699999, -77.4571501599999)",complete
7001596,Laurel Hill House,1000: Residence or accommodation functions,1320: Dormitories,georgeae,09/07/2007 10:54:42 AM,"(37.5514275399999, -77.4577455499999)",complete
7001595,Stuart Circle Hospital,1000: Residence or accommodation functions,4110: Hospital building,georgeae,09/07/2007 10:54:26 AM,"(37.55183727, -77.45774206)",complete
7000363,First English Evangelical Lutheran Church,6600: Religious institutions,"3500: Churches, synagogues, temples, mosques, etc",georgeae,09/07/2007 10:53:59 AM,"(37.55233908, -77.45841815)",complete
7000367,Grace Covenant Presbyterian Church,6600: Religious institutions,"3500: Churches, synagogues, temples, mosques, etc",georgeae,09/07/2007 10:53:41 AM,"(37.55284601, -77.4592787499999)",complete
7000037,CJW Chippenham Hospital,6530: Hospital,4110: Hospital building,georgeae,09/07/2007 10:38:35 AM,"(37.5143548699999, -77.5263059499999)",complete
7000013,Circle Shopping Center,2100: Retail sales or service,2510: Neighborhood center (convenience with one or more anchors),georgeae,09/07/2007 10:33:29 AM,"(37.5038136599999, -77.47310744)",complete
7000489,Church of the Holy Comforter Episcopal,6600: Religious institutions,"3500: Churches, synagogues, temples, mosques, etc",georgeae,09/07/2007 10:20:33 AM,"(37.5760013599999, -77.4978568199999)",complete
7000054,Church of the Good Shepherd Episcopal,6600: Religious institutions,"3500: Churches, synagogues, temples, mosques, etc",georgeae,09/07/2007 10:20:06 AM,"(37.5190254099999, -77.47921802)",complete
7001573,Church of Jesus Christ of Latter Day Saints Monument Avenue,6600: Religious institutions,"3500: Churches, synagogues, temples, mosques, etc",georgeae,09/07/2007 10:19:13 AM,"(37.5824804599999, -77.50732612)",complete
