OBJECTID,Accident_ID,Date,Time,Street1,Distance,Measurement,Direction,Street2,StatePlaneX,StatePlaneY,Location 1
367,201202030565,02/03/2012,1715,BELVIDERE ST,None,None,None,BROAD ST,11788092,3725095,"(37.548849, -77.447307)"
555,201312070155,12/07/2013,607,WALCOTT PL,67,Feet,S,CREIGHTON ROAD,11802446,3724098,"(37.545661, -77.397838)"
692,201502280082,02/28/2015,220,MAIN ST,None,None,None,10TH ST,11791587,3721067,"(37.53768, -77.435409)"
560,201401030343,01/03/2014,1630,HULL ST,None,None,None,7TH ST,11790285,3715881,"(37.523478, -77.4401)"
97,200911200830,11/20/2009,2245,17TH ST,None,None,None,FRANKLIN ST,11793838,3719866,"(37.534312, -77.427693)"
432,201208280586,08/28/2012,2042,WALMSLEY BLVD,20,Feet,W,DORSET ROAD,11779181,3696454,"(37.470463, -77.479111)"
689,201502150323,02/15/2015,1445,MAIN ST,None,None,None,BELVIDERE ST,11787621,3723968,"(37.545769, -77.448975)"
155,201005220253,05/22/2010,917,MARSHALL ST,None,None,None,HARRISON ST,11786860,3726482,"(37.552696, -77.451503)"
207,201010200431,10/20/2010,1817,HARRISON ST,None,None,None,BROAD ST,11786628,3726167,"(37.551838, -77.452316)"
23,200904160254,04/16/2009,1255,10TH ST,None,None,None,CLAY ST,11792748,3722653,"(37.541999, -77.431343)"
334,201111120193,11/12/2011,914,BOULEVARD,50,Feet,N,BROAD ST,11781398,3730002,"(37.562528, -77.470211)"
478,201302140096,02/14/2013,754,4000 OLD BROOK ROAD,None,None,None,None,11788090,3739940,"(37.589617, -77.446743)"
554,201312070108,12/07/2013,309,LAUREL ST,None,None,None,CARY ST,11786865,3723495,"(37.544493, -77.4516)"
529,201309070772,09/07/2013,1,ASHLEY ST,10,Feet,N,None,0,0,"(21.84882, -111.898764)"
446,201210150352,10/15/2012,1534,MONUMENT AVE,None,None,None,ALLEN AVE,11784363,3726869,"(37.553834, -77.460102)"
366,201202010557,02/01/2012,1756,B1100 ST JOHN ST,None,None,None,None,11791293,3726689,"(37.553128, -77.436204)"
495,201305030310,05/03/2013,1450,12TH ST,None,None,None,CLAY ST,11793242,3722284,"(37.54097, -77.429654)"
72,200909290383,09/29/2009,1512,MARSHALL ST,None,None,None,11TH ST,11792769,3722138,"(37.540584, -77.431291)"
186,201008240496,08/24/2010,1656,33RD ST,94,Feet,S,R ST,11800678,3720207,"(37.535032, -77.404092)"
268,201105180448,05/18/2011,1620,BROAD ST,None,None,None,7TH ST,11791498,3722591,"(37.541868, -77.435657)"
272,201106030624,06/03/2011,1900,WALTON AVE,100,Feet,E,CHAMBERLAYNE AVE,11788107,3737002,"(37.581548, -77.446797)"
609,201406100059,06/10/2014,303,LAMB AVE,218,Feet,S,FELLS ST,0,0,"(21.84882, -111.898764)"
227,201012120084,12/12/2010,139,CARY ST,142,Feet,W,12TH ST,11791816,3720410,"(37.535868, -77.434645)"
710,21409130078,09/13/2014,2330,CARY ST,None,None,None,15TH ST,11792831,3719649,"(37.533747, -77.431174)"
364,201201260438,01/26/2012,1624,WESTOVER HILLS BLVD,None,None,None,BASSETT AVE,11776183,3712716,"(37.515211, -77.488841)"
581,201403020397,03/02/2014,1721,FOREST HILL AVE,10,Feet,E,JOE BROOKS BLVD,11765344,3720794,"(37.537708, -77.525923)"
576,201402250305,02/25/2014,1539,LABURNUM AVE,None,None,None,NORTH AVE,11790297,3738201,"(37.584773, -77.439194)"
356,201201120177,01/12/2012,940,WESTOVER HILLS BLVD,1000,Feet,S,BASSETT AVE,11776183,3712716,"(37.515211, -77.488841)"
29,200905050331,05/05/2009,1345,FRANKLIN ST,None,None,None,MONROE ST,11788180,3724058,"(37.545999, -77.447043)"
218,201011230220,11/23/2010,1130,BAKER ST,15,Feet,E,ST JOHN ST,11790781,3725964,"(37.551153, -77.437998)"
193,201009040818,09/04/2010,2211,HULL STREET ROAD,1,Miles,N,WARWICK ROAD,11776430,3704516,"(37.492684, -77.488292)"
533,201310020462,10/02/2013,1730,LEIGH ST,60,Feet,E,BOWE ST,11786499,3727873,"(37.556527, -77.452695)"
655,201410240678,10/24/2014,2009,HULL ST,None,None,None,30TH ST,11784214,3710922,"(37.510045, -77.461221)"
180,201008140756,08/14/2010,2200,HULL STREET ROAD,150,Feet,E,ELKHARDT ROAD,11770002,3699847,"(37.480049, -77.510616)"
673,201412300394,12/30/2014,1730,E GERMAN SCHOOL ROAD,100,Feet,None,None,11771908,3708130,"(37.502742, -77.503747)"
147,201004160534,04/16/2010,1630,BELLEVUE AVE,40,Feet,W,BROOK ROAD,11786440,3740435,"(37.591026, -77.452418)"
556,201312220402,12/22/2013,1625,MAURY ST,None,None,None,COMMERCE ROAD,11791008,3714457,"(37.519545, -77.437662)"
469,201301020348,01/02/2013,1730,1500 WILLIAMSBURG ROAD,None,None,None,None,11802670,3712787,"(37.514592, -77.397521)"
551,201312060175,12/06/2013,847,DORSET ROAD,None,None,None,PETTUS ROAD,11779570,3698515,"(37.476111, -77.477694)"
668,201412110169,12/11/2014,1028,OVERBROOK ROAD,200,Feet,W,NORTH AVE,11792126,3731008,"(37.564963, -77.433163)"
59,200908150093,08/15/2009,116,BROAD ROCK BLVD,None,None,None,OLD WARWICK ROAD,11779131,3700707,"(37.482144, -77.479125)"
698,201503270323,03/27/2015,1550,HARRISON ST,None,None,None,BROAD ST,11786628,3726167,"(37.551838, -77.452316)"
405,201205200306,05/20/2012,1340,JACKSON ST,None,None,None,1ST ST,11790923,3725111,"(37.548806, -77.437542)"
