OBJECTID,Accident_ID,Date,Time,Street1,Distance,Measurement,Direction,Street2,StatePlaneX,StatePlaneY,Location 1
392,201309140336,09/14/2013,1351,3RD AVE,None,None,None,FRONT ST,11797065,3733180,"(37.570773304, -77.416037409)"
441,201406150608,06/15/2014,2000,IDLEWOOD AVE,50,Feet,E,MEADOW ST,11782173,3723910,"(37.54577436, -77.46776749)"
260,201204230270,04/23/2012,1340,BROAD ST,150,Feet,E,DAVIS AVE,11782612,3729111,"(37.56004425, -77.466056881)"
446,201407180703,07/18/2014,2349,ROBINSON ST,None,None,None,FLOYD AVE,11780730,3726517,"(37.552976991, -77.472646617)"
456,201408280061,08/28/2014,259,CARY ST,50,Feet,W,ROWLAND ST,11782178,3724916,"(37.54853691, -77.467712302)"
280,201207280093,07/28/2012,203,MAIN ST,None,None,None,SHIELDS AVE,11781995,3725480,"(37.550091272, -77.468322241)"
484,201502030212,02/03/2015,1407,SCHOOL ST,None,None,None,BROOK ROAD,11787978,3729071,"(37.559771554, -77.447547343)"
140,201010010350,10/01/2010,1053,BELVIDERE ST,None,None,None,BROAD ST,11788092,3725095,"(37.548849126, -77.447307031)"
425,201404190195,04/19/2014,1115,GROVE AVE,None,None,None,ROSENEATH ROAD,11777752,3728298,"(37.557956571, -77.482852697)"
380,201308040337,08/03/2013,2215,MEDOWBRIDGE ROAD,None,None,None,LADIES MILE ROAD,11794967,3737153,"(37.581749854, -77.423119515)"
129,201009080482,09/08/2010,1653,JEFFERSON DAVIS HWY,None,None,None,TERMINAL AVE,11789120,3701082,"(37.482872283, -77.444687193)"
151,201011030678,11/03/2010,2231,HARRISON ST,None,None,None,FLOYD AVE,11785779,3724465,"(37.547189574, -77.455309048)"
114,201006160156,06/16/2010,745,MEADOW ST,200,Feet,S,GROVE AVE,11783065,3725986,"(37.551448688, -77.464612404)"
432,201405170379,05/17/2014,1620,FRANKLIN ST,60,Feet,W,JEFFERSON ST,11788679,3723687,"(37.54496446, -77.445336619)"
49,200907280275,07/28/2009,1152,OVERBROOK ROAD,None,None,None,HERMITAGE ROAD,11784195,3731071,"(37.565379081, -77.460521548)"
20,200904170046,04/17/2009,100,LAUREL ST,50,Feet,S,CARY ST,11786865,3723495,"(37.544492678, -77.451600472)"
243,201201170232,01/17/2012,1247,GRACE ST,None,None,None,MONROE ST,11788409,3724374,"(37.546859392, -77.4462414)"
26,200905080517,05/08/2009,1505,COWARDIN AVE,None,None,None,RIVERSIDE DR,11786748,3716726,"(37.52590705, -77.452263121)"
335,201301150403,01/15/2013,1850,FLOYD AVE,None,None,None,MORRIS ST,11785420,3724475,"(37.54722794, -77.456546897)"
131,201009110086,09/11/2010,124,BELVIDERE ST,None,None,None,FRANKLIN ST,11787681,3724425,"(37.547021739, -77.448750381)"
416,201402200101,02/20/2014,810,MONUMENT AVE,None,None,None,MULBERRY ST,11781549,3728933,"(37.55958734, -77.46973062)"
143,201010040252,10/04/2010,1151,CARY ST,None,None,None,ROWLAND ST,11782178,3724916,"(37.54853691, -77.467712302)"
181,201105190410,05/19/2011,1439,SOUTHWOOD PKWY,None,None,None,CLARKSON ROAD,11778947,3704798,"(37.493384522, -77.479606673)"
203,201107190725,07/19/2011,2200,MIDLOTHIAN TPKE,100,Feet,W,CARNATION ST,11767966,3708122,"(37.502833041, -77.517335272)"
90,201003130474,03/13/2010,1626,DORSET ROAD,None,None,None,BRITANNIA ROAD,11779946,3699995,"(37.480164526, -77.47634298)"
466,201410170001,10/17/2014,1,LAUREL ST,40,Feet,S,SPRING ST,11786855,3721550,"(37.539151584, -77.451709457)"
488,201504060313,04/06/2015,1616,700 S BELVIDERE ST,15,Miles,N,None,11787514,3720501,"(37.536250678, -77.449476997)"
196,201106220540,06/22/2011,1657,BROAD ROCK BLVD,None,None,None,KINSLEY AVE,11781133,3703756,"(37.490457792, -77.472111402)"
427,201404270529,04/27/2014,2140,RIVER ROAD,100,Feet,W,KANAWHA ROAD,11764702,3731860,"(37.568116253, -77.527743856)"
53,200908100118,08/10/2009,645,8TH ST,None,None,None,MAIN ST,11791062,3721451,"(37.538750523, -77.437204475)"
384,201308210161,08/21/2013,845,2800 GROVE AVE,None,None,None,N BOULEVARD,11780221,3727226,"(37.55493926, -77.474375782)"
102,201005120462,05/12/2010,1642,LEIGH ST,None,None,None,GILMER ST,11788461,3726436,"(37.552520491, -77.445982639)"
210,201108170300,08/17/2011,1206,BROAD ST,None,None,None,10TH ST,11792283,3722011,"(37.540250578, -77.432971765)"
94,201004120666,04/12/2010,2112,LOMBARDY ST,None,None,None,BROOK ROAD,11787803,3730169,"(37.562792246, -77.448108831)"
159,201012110257,12/11/2010,1054,LEE BRIDGE,None,None,None,2ND STREET OFF RAMP,11787475,3720507,"(37.536268347, -77.449611262)"
313,201210150370,10/15/2012,1600,BAINBRIDGE ST,None,None,None,COWARDIN AVE,11787672,3714271,"(37.519136846, -77.44917128)"
21,200904220418,04/22/2009,1448,MARSHALL ST,None,None,None,HARRISON ST,11786860,3726482,"(37.552695779, -77.451503292)"
316,201210240142,10/24/2012,800,BROAD ST,None,None,None,HANCOCK ST,11786926,3725948,"(37.551227287, -77.451296096)"
176,201104290619,04/29/2011,1808,CUSTIS ROAD,50,Feet,S,CHIPPENHAM PKWY,11761699,3722663,"(37.542943579, -77.538427728)"
198,201106260514,06/26/2011,1718,ROBINSON ST,None,None,None,MONUMENT AVE,11781856,3728708,"(37.558960236, -77.468680046)"
39,200906170158,06/17/2009,809,HULL ST,21,Feet,E,30TH ST,11784214,3710922,"(37.510044801, -77.461220924)"
132,201009140332,09/14/2010,1355,FRANKLIN ST,None,None,None,RYLAND ST,11785737,3725856,"(37.551010839, -77.455400821)"
461,201409200386,09/20/2014,1440,MONUMENT AVE,None,None,None,TILDEN ST,11779238,3730629,"(37.564313921, -77.477639486)"
428,201404290100,04/29/2014,848,ALLEN AVE,None,None,None,PARK AVE,11784091,3726501,"(37.552832034, -77.461053864)"
358,201305220297,05/22/2013,1445,BROAD ST,None,None,None,BELVIDERE ST,11788092,3725095,"(37.548849126, -77.447307031)"
14,200903270612,03/27/2009,1938,CLARKSON ROAD,25,Feet,N,CLARKSON CT,11779517,3705413,"(37.495056533, -77.477619124)"
226,201110150113,10/15/2011,208,MAIN ST,None,None,None,STAFFORD AVE,11781276,3725792,"(37.550969647, -77.47079052)"
2,200901120550,01/12/2009,1935,MEADOW ST,0,Feet,W,GROVE AVE,11783065,3725986,"(37.551448688, -77.464612404)"
383,201308180390,08/18/2013,1931,14TH ST,None,None,None,DECATUR ST,11788930,3714264,"(37.519079085, -77.444834193)"
207,201108060041,08/06/2011,56,MAIN ST,20,Feet,W,15TH ST,11793064,3719950,"(37.534566352, -77.430358806)"
138,201009260627,09/26/2010,1905,BELVIDERE ST,100,Feet,N,CUMBERLAND ST,11787613,3722997,"(37.54310222, -77.449039754)"
160,201101190311,01/19/2011,1253,MAIN ST,None,None,None,BRUNSWICK ST,11785229,3724071,"(37.546124264, -77.457221071)"
13,200903240518,03/24/2009,1711,11TH ST,None,None,None,SEMMES AVE,11788128,3716663,"(37.52569188, -77.447507123)"
381,201308080219,08/08/2013,1158,MARSHALL ST,None,None,None,1ST ST,11790155,3724067,"(37.545962627, -77.440231178)"
7,200902130351,02/13/2009,1300,LEIGH ST,70,Feet,E,9TH ST,11792775,3723238,"(37.543604898, -77.431227054)"
451,201408060010,08/06/2014,15,PARK AVE,100,Feet,E,LOMBARDY ST,11784755,3725941,"(37.551274061, -77.458784787)"
118,201006280576,06/28/2010,1840,5TH ST,None,None,None,BROAD ST,11790972,3722978,"(37.542946778, -77.437455584)"
482,201501140570,01/14/2015,2205,MIDLOTHIAN TPKE,None,None,None,GERMAN SCHOOL ROAD,11771657,3708989,"(37.505107848, -77.504580527)"
191,201106030581,06/03/2011,1811,FLOYD AVE,15,Feet,W,HARVIE ST,11785045,3724639,"(37.547689697, -77.457834071)"
291,201208160435,08/16/2012,1708,CARY ST,None,None,None,BELVIDERE ST,11787616,3723482,"(37.544434044, -77.449010784)"
402,201310240168,10/24/2013,1011,7TH ST,None,None,None,JACKSON ST,11792518,3723971,"(37.545625859, -77.432084831)"
351,201304300303,04/30/2013,1630,ALLEN AVE,None,None,None,BROAD ST,11784812,3727498,"(37.555548192, -77.458528925)"
103,201005210625,05/21/2010,1830,HUNT AVE,None,None,None,BRANCH AVE,11793944,3736728,"(37.580614719, -77.426666242)"
88,201002220441,02/22/2010,1725,E MARSHALL ST,None,None,None,None,11791870,3722818,"(37.542479585, -77.434364694)"
310,201210090160,10/09/2012,854,THOMPSON ST,None,None,None,PARK AVE,11777720,3730443,"(37.563848157, -77.482883359)"
111,201006080425,06/08/2010,1544,DAVIS AVE,None,None,None,HANOVER AVE,11781447,3727176,"(37.554765294, -77.470148611)"
34,200905280771,05/28/2009,2125,MAIN ST,None,None,None,ROWLAND ST,11782354,3725323,"(37.549649335, -77.467089887)"
106,201005260624,05/26/2010,1755,MECHANICSVILLE TPKE,None,None,None,I-64,11798859,3727821,"(37.555999721, -77.410061278)"
464,201410140278,10/14/2014,930,MONUMENT AVE,None,None,None,LOMBARDY ST,0,0,"(21.84881981, -111.898763822)"
70,200909150409,09/15/2009,1522,MIDLOTHIAN TPKE,None,None,None,ARCADIA ST,11767173,3707931,"(37.502331142, -77.520075658)"
404,201311090343,11/09/2013,1518,BELVIDERE ST,None,None,None,HOLLY ST,11787583,3720583,"(37.53647376, -77.449235895)"
439,201406070624,06/07/2014,2223,CUMBERLAND ST,None,None,None,BELVIDERE ST,11787613,3722997,"(37.54310222, -77.449039754)"
354,201305140341,05/14/2013,1610,PARKWOOD AVE,None,None,None,ADDISON ST,11781336,3724945,"(37.548641801, -77.47061542)"
366,201306210644,06/21/2013,2051,25TH ST,10,Feet,N,Q ST,11798274,3721410,"(37.538412337, -77.412334039)"
75,200909300128,09/30/2009,617,HOSPITAL ST,30,Feet,S,7TH ST,11794005,3725993,"(37.551132384, -77.426876849)"
434,201405220645,05/22/2014,1902,LEIGH ST,None,None,None,HERMITAGE ROAD,11784273,3729452,"(37.560930609, -77.460313968)"
211,201108170703,08/17/2011,2042,BOULEVARD,None,None,None,PARKWOOD AVE,11779577,3725705,"(37.550781451, -77.47665412)"
424,201404120205,04/12/2014,843,MONUMENT AVE,50,Feet,E,STAPLES MILL ROAD,11773258,3735017,"(37.576540385, -77.498109303)"
363,201306020546,06/02/2013,2103,NORTH 23RD ST,26,Feet,N,FAIRFIELD AVE,11799984,3724933,"(37.548032962, -77.406296017)"
388,201309090308,09/09/2013,1512,BROAD ST,None,None,None,8TH ST,11791761,3722397,"(37.541326807, -77.434757008)"
263,201204280425,04/28/2012,1628,MAIN ST,300,Feet,E,STRAWBERRY ST,11781635,3725636,"(37.550530481, -77.469558099)"
17,200904080432,04/08/2009,1610,10TH ST,30,Feet,N,CANAL ST,11791120,3720434,"(37.535955825, -77.437043943)"
200,201107130264,07/13/2011,1055,GRACE ST,None,None,None,MEADOW ST,11783987,3727654,"(37.556001563, -77.461368839)"
364,201306120149,06/12/2013,843,PATTERSON AVE,50,Feet,W,BOULEVARD,11780925,3728885,"(37.559474205, -77.471885027)"
295,201208310286,08/31/2012,1145,BROAD ST,None,None,None,1ST ST,11789923,3723751,"(37.545101973, -77.441043584)"
175,201104210022,04/21/2011,857,LEIGH ST,None,None,None,10TH ST,11793078,3723085,"(37.543175302, -77.430188007)"
161,201102030504,02/03/2011,1830,HARRISON ST,None,None,None,GROVE AVE,11785779,3724947,"(37.548513251, -77.455290649)"
67,200909100310,09/10/2009,1208,CARY ST,None,None,None,NANSEMOND ST,11776691,3727297,"(37.55523894, -77.486549813)"
382,201308170720,08/17/2013,2330,5TH ST,None,None,None,HOSPITAL ST,11793301,3726134,"(37.551541553, -77.429299626)"
165,201102210350,02/21/2011,1412,MONUMENT AVE,None,None,None,MEADOW ST,11783744,3727323,"(37.555099905, -77.462219625)"
130,201009100533,09/10/2010,1606,PARK AVE,None,None,None,THOMPSON ST,11777720,3730443,"(37.563848157, -77.482883359)"
417,201402220605,02/22/2014,2258,MARSHALL ST,None,None,None,MUNFORD ST,11788247,3725466,"(37.549863223, -77.44675813)"
101,201005110247,05/11/2010,1230,BROAD ST,None,None,None,HARRISON ST,11786628,3726167,"(37.551837796, -77.452315602)"
237,201112160662,12/16/2011,1900,HULL ST,None,None,None,10TH ST,11789604,3715325,"(37.521972123, -77.442469384)"
213,201108280703,08/28/2011,1811,MONUMENT AVE,None,None,None,BOULEVARD,11781089,3729272,"(37.560532084, -77.471304732)"
171,201103200635,03/20/2011,2145,GRACE ST,None,None,None,LOMBARDY ST,11785295,3726692,"(37.553320098, -77.456893541)"
201,201107140502,07/14/2011,1611,BROAD ST,None,None,None,ALLEN AVE,11784812,3727498,"(37.555548192, -77.458528925)"
304,201209170414,09/17/2012,1754,MECHANICSVILLE TPKE,None,None,None,FAIRFIELD AVE,11797619,3725237,"(37.548942776, -77.414441157)"
319,201211010188,11/01/2012,1018,BROAD ST,None,None,None,BOULEVARD,11781398,3730002,"(37.562527569, -77.470211294)"
481,201412300314,12/30/2014,1527,BROOK ROAD,30,Feet,S,LABURNUM AVE,11786829,3738045,"(37.58445108, -77.451167077)"
459,201409030445,09/03/2014,1745,GRAYLAND AVE,35,Feet,W,GRANBY ST,11782679,3724046,"(37.546132639, -77.466017133)"
442,201406160131,06/16/2014,830,ELLWOOD AVE,25,Feet,W,NANSEMOND ST,11776865,3727702,"(37.55634603, -77.485934594)"
248,201202170571,02/17/2012,1739,DOCK ST,10,Feet,E,22ND ST,11794588,3718119,"(37.529490487, -77.425175157)"
463,201410060101,10/06/2014,815,BROAD ST,None,None,None,TERMINAL PL,11781891,3729640,"(37.561518658, -77.468524178)"
308,201210050001,10/05/2012,1,GROVE AVE,30,Feet,W,COLONIAL AVE,11779831,3727395,"(37.555415, -77.475714752)"
303,201209160378,09/16/2012,1546,MAIN ST,None,None,None,HARRISON ST,11785791,3723981,"(37.545860039, -77.455286133)"
455,201408240537,08/24/2014,2110,HARRISON ST,None,None,None,GRACE ST,11786398,3725853,"(37.550982492, -77.453120958)"
135,201009200526,09/20/2010,1700,ROBERTS ST,None,None,None,NORTH AVE,11792104,3729814,"(37.561684802, -77.433285004)"
348,201304230356,04/23/2013,1723,OVERBROOK ROAD,None,None,None,OWNBY LANE,11785229,3731074,"(37.565355998, -77.45695419)"
259,201204170096,04/17/2012,803,18TH ST,None,None,None,MAIN ST,11793858,3719355,"(37.532907613, -77.42764399)"
144,201010110500,10/11/2010,1744,LANCASTER ROAD,None,None,None,TAZEWELL ST,11789562,3731562,"(37.566563724, -77.441986734)"
359,201305250357,05/25/2013,1450,CARY ST,75,Feet,E,THOMPSON ST,11776016,3727595,"(37.556077193, -77.48886721)"
72,200909170084,09/17/2009,245,CARY ST,50,Feet,W,20TH ST,11794158,3718650,"(37.530962166, -77.4266371)"
